"","meanDiff","tstat","pval","qval","bonf","meanControl","nearestGene","nearestRefseq","nearestGeneDist","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits"
"cg02887248",-0.014567042890727,-5.60461415123414,5.74879565264833e-08,1.46880038590033e-05,0.0262439994977745,0.103704355633932,"FDFT1","NM_001287742",0,"FDFT1","NM_001287742","inside intron","inside",6879,"inside intron",6341,2,8,"5' UTR","+",43736,29722,"2222",14159
"cg06119051",-0.010558970761107,-5.60458827579206,5.74955431631496e-08,1.46880038590033e-05,0.0262474628960389,0.0719395812040056,"CA2","NM_000067",0,"CA2","NM_000067","inside exon","inside",175,"inside exon",0,1,7,"5' UTR","+",17590,16707,"760",48760
"cg27058811",-0.0143175612380198,-5.60286859420998,5.80019454030082e-08,1.48090839495322e-05,0.0264786421017635,0.0992693691428252,"KIF2A","NM_001098511",0,"KIF2A","NM_001098511","inside intron","inside",1133,"inside intron",-758,1,20,"inside transcription region","+",81022,79096,"3796",26343
"cg21182960",-0.0163808730011863,-5.60248497018467,5.81155047592056e-08,1.48297839151142e-05,0.0265304834241392,0.166303071691741,"MNX1","NM_001165255",-8824,"MNX1","NM_001165255","upstream","upstream",8824,NA,NA,NA,2,NA,"-",16602,16224,"3110",23543
"cg26086607",-0.00781012781733165,-5.60201465872959,5.82550209287451e-08,1.48525266401002e-05,0.0265941743692442,0.0581504665307795,"DBNL","NM_001014436",209,"DBNL","NM_001014436","promoter","promoter",209,NA,NA,NA,13,NA,"+",17076,16178,"28988",22181
"cg07748017",-0.0118293294509824,-5.60196524172844,5.82696992471614e-08,1.48525266401002e-05,0.0266008752124194,0.0822947623898174,"PEX5","NM_000319",0,"PEX5","NM_000319","inside intron","inside",180,"inside intron",-44,1,16,"inside transcription region","+",21638,20289,"5830",41150
"cg21457839",-0.00865528417683787,-5.6018522933555,5.83032618136896e-08,1.48527884823398e-05,0.0266161969603529,0.0602287336326438,"PTPRA","NM_002836",0,"PTPRA","NM_002836","inside intron","inside",492,"inside intron",-227,1,23,"5' UTR","+",165173,114874,"5786",40953
"cg24694748",-0.0100060860689477,-5.60166516165085,5.83589094189412e-08,1.48586730705907e-05,0.0266416008155691,0.0802850234727558,"SCOC","NM_001153446",4042,"SCOC","NM_001153446","upstream","upstream",4042,NA,NA,NA,5,NA,"+",125270,37465,"60592",42231
"cg10470963",-0.0144734262562881,-5.60150572762126,5.84063613843156e-08,1.48589486650649e-05,0.0266632632546381,0.0978982825263878,"ANKRD54","NM_138797",-215,"ANKRD54","NM_138797","promoter","promoter",215,NA,NA,NA,8,NA,"-",13491,12295,"129138",7141
"cg27424447",-0.0169347302329012,-5.60139254062502,5.844007178932e-08,1.48589486650649e-05,0.0266786524927579,0.193915255847595,"LOC440311","NR_077061",10089,"LOC440311","NR_077061","upstream","upstream",10089,NA,NA,NA,1,NA,"+",1701,629,"440311",29151
"cg14256008",-0.0116672016376839,-5.60132487005554,5.84602351292721e-08,1.48589486650649e-05,0.0266878573195694,0.100751287634194,"RIMBP2","NM_015347",0,"RIMBP2","NM_015347","inside intron","inside",195,"inside intron",135,1,16,"5' UTR","-",284634,24264,"23504",16753
"cg07148651",0.0180546794093697,5.60122438991441,5.84901870288942e-08,1.48589486650649e-05,0.0267015307511216,0.920357866948983,"ERICH1-AS1","NR_073397",-67840,"ERICH1-AS1","NR_073397","downstream","downstream",468030,NA,NA,NA,4,NA,"+",400190,315304,"619343",42499
"cg09725147",-0.011569866374686,-5.60032042091213,5.87603228163358e-08,1.49181545731511e-05,0.0268248512498539,0.0836257949072281,"PJA2","NM_014819",-144,"PJA2","NM_014819","promoter","promoter",144,NA,NA,NA,10,NA,"-",75265,46202,"9867",61287
"cg20758803",-0.0118381771885636,-5.60015379848403,5.88102477048796e-08,1.49181545731511e-05,0.0268476426104977,0.0877915503521577,"MAGI3","NM_001142782",303,"MAGI3","NM_001142782","promoter","promoter",303,NA,NA,NA,22,NA,"+",291449,291227,"260425",18985
"cg20781835",-0.0148753047038475,-5.60011700281153,5.88212783243236e-08,1.49181545731511e-05,0.0268526782316719,0.0789422236599746,"ZNF672","NM_024836",53,"ZNF672","NM_024836","promoter","promoter",53,NA,NA,NA,4,NA,"+",11184,1358,"79894",51052
"cg10441365",-0.0181330275397174,-5.59986706432746,5.88962583777179e-08,1.49288770687325e-05,0.0268869076007872,0.0784557090295861,"SAR1B","NM_001033503",-93,"SAR1B","NM_001033503","promoter","promoter",93,NA,NA,NA,8,NA,"-",31694,17069,"51128",31800
"cg04295991",-0.0142140761508852,-5.59900323347737,5.91561208062341e-08,1.49814606892667e-05,0.0270055381776163,0.104626965246986,"N6AMT2","NM_174928",0,"N6AMT2","NM_174928","inside intron","inside",83,"inside intron",47,1,5,"5' UTR","-",45022,28518,"221143",13894
"cg06207290",-0.00962986294917169,-5.59895938421572,5.91693415581764e-08,1.49814606892667e-05,0.0270115736227478,0.10407641015203,"DDX60L","NM_001012967",0,"DDX60L","NM_001012967","inside intron","inside",235,"inside intron",124,1,6,"5' UTR","-",11739,1891,"91351",58229
"cg16022344",-0.00731464023937055,-5.59875261876942,5.92317211117392e-08,1.49889416296471e-05,0.0270400506998834,0.0753821636630542,"COX5B","NM_001862",0,"COX5B","NM_001862","inside exon","inside",19,"inside exon",0,1,4,"5' UTR","+",2136,2021,"1329",7563
"cg13934792",-0.0154383851185205,-5.59796856386257,5.946884759465e-08,1.50406105384911e-05,0.0271483020219764,0.14199447631033,"CCDC183","NM_001039374",0,"CCDC183","NM_001039374","inside intron","inside",3949,"inside intron",101,5,14,"inside transcription region","+",11403,11292,"84960",55466
"cg02294249",-0.00653266179568135,-5.59752898955255,5.96021953852226e-08,1.50659894916357e-05,0.0272091770218941,0.0888657884503376,"RFC3","NM_002915",0,"RFC3","NM_002915","inside intron","inside",286,"inside intron",-89,1,9,"inside transcription region","+",148489,147946,"5983",41859
"cg07437033",-0.00783467623133618,-5.59736436058987,5.96522116780743e-08,1.50702878305439e-05,0.0272320101097927,0.0653940379503686,"ZBTB17","NM_001242884",0,"ZBTB17","NM_001242884","inside intron","inside",395,"inside intron",245,1,2,"inside transcription region","-",28389,27835,"7709",48905
"cg00385620",0.0205198794652448,5.59720084489277,5.97019302556681e-08,1.50745062427023e-05,0.0272547072868058,0.177863714786151,"UHRF1BP1","NM_017754",636,"UHRF1BP1","NM_017754","promoter","promoter",636,NA,NA,NA,21,NA,"+",85497,80187,"54887",35338
"cg10377191",-0.011004381946772,-5.59686108885331,5.98053656943684e-08,1.50922757928321e-05,0.0273019269092332,0.064998672584666,"PSMB4","NM_002796",0,"PSMB4","NM_002796","inside exon","inside",540,"inside exon",0,2,7,"inside transcription region","+",2371,2241,"5692",39081
"cg19372504",0.0182966194749136,5.5967509366699,5.98389379523533e-08,1.50924050173716e-05,0.0273172530814427,0.914401467561831,"CAPNS1","NM_001003962",0,"CAPNS1","NM_001003962","inside exon","inside",2184,"inside exon",0,3,11,"inside transcription region","+",10226,8827,"826",53055
"cg06736685",-0.0143494475158715,-5.59658723746203,5.98888642566346e-08,1.5096656592153e-05,0.0273400450883891,0.0959954943195045,"GSE1","NM_001134473",55680,"GSE1","NM_001134473","upstream","upstream",55680,NA,NA,NA,15,NA,"+",64783,23901,"23199",15772
"cg08181476",-0.0358142927769067,-5.59552457598047,6.02139523177612e-08,1.51702273810365e-05,0.0274884520144381,0.151524244752357,"NCAN","NM_004386",106,"NCAN","NM_004386","promoter","promoter",106,NA,NA,NA,15,NA,"+",40279,32957,"1463",8844
"cg26920902",-0.0237686538166685,-5.59537448481465,6.02600064608718e-08,1.51734563317551e-05,0.0275094763294719,0.113590266903391,"NR2F2","NM_001145155",-77495,"NR2F2","NM_001145155","downstream","downstream",91830,NA,NA,NA,3,NA,"+",14335,11312,"7026",46701
"cg07052796",-0.00890157121695113,-5.59458314903934,6.05033892743428e-08,1.52263416470772e-05,0.027620583747798,0.104011684021811,"ASB13","NM_024701",-173,"ASB13","NM_024701","promoter","promoter",173,NA,NA,NA,6,NA,"-",27738,25848,"79754",50682
"cg20431565",-0.00828900958013464,-5.59417344777959,6.06297730586686e-08,1.52497408200176e-05,0.027678279588332,0.0998833837523317,"C2CD4B","NM_001007595",-226913,"C2CD4B","NM_001007595","upstream","upstream",226913,NA,NA,NA,2,NA,"-",1745,1094,"388125",26658
"cg15705209",-0.0109169293707352,-5.59398760545664,6.0687186131704e-08,1.52542460335783e-05,0.0277044894025426,0.0816223670404373,"AGPAT5","NM_018361",120,"AGPAT5","NM_018361","promoter","promoter",120,NA,NA,NA,8,NA,"+",53143,48719,"55326",36728
"cg05270938",-0.0183688573051588,-5.59389920635702,6.07145142482509e-08,1.52542460335783e-05,0.0277169650430118,0.200190849271049,"EN1","NM_001426",-10809,"EN1","NM_001426","upstream","upstream",10809,NA,NA,NA,2,NA,"-",6012,4229,"2019",12814
"cg12657664",-0.0147786541418339,-5.59375684680839,6.07585491752425e-08,1.52569128490855e-05,0.0277370675596375,0.0914089720865003,"SRRM1","NM_001303448",591,"SRRM1","NM_001303448","promoter","promoter",591,NA,NA,NA,17,NA,"+",30178,28959,"10250",1690
"cg12625296",-0.0133022199421299,-5.59321998629923,6.09248921995816e-08,1.52850512001037e-05,0.0278130053127076,0.0817358629390088,"ZNHIT1","NM_006349",0,"ZNHIT1","NM_006349","inside exon","inside",388,"inside exon",0,1,5,"5' UTR","+",6486,5762,"10467",2345
"cg14087004",-0.0104521982335088,-5.59317912615981,6.09375706369562e-08,1.52850512001037e-05,0.0278187931841888,0.0705436602635311,"GAREM","NM_001242409",-371,"GAREM","NM_001242409","promoter","promoter",371,NA,NA,NA,6,NA,"-",206963,202557,"64762",44308
"cg09783236",-0.0102776872308996,-5.5926969128376,6.10873904069788e-08,1.53032820121784e-05,0.0278871878568611,0.0556834956866534,"DDRGK1","NM_023935",0,"DDRGK1","NM_023935","inside exon","inside",19,"inside exon",0,1,6,"5' UTR","-",10642,9812,"65992",45420
"cg25141720",-0.0090658608702306,-5.5926184725209,6.11117951135903e-08,1.53032820121784e-05,0.0278983289226904,0.107313732533794,"GAS1","NM_002048",0,"GAS1","NM_002048","inside exon","inside",278,"inside exon",0,1,1,"5' UTR","-",2827,1037,"2619",19321
"cg19816938",-0.00807846013533504,-5.59257566351328,6.11251180551975e-08,1.53032820121784e-05,0.0279044110187324,0.068806110481442,"ABR","NM_001092",0,"ABR","NM_001092","inside intron","inside",8090,"inside intron",7567,1,23,"5' UTR","-",183858,119305,"29",22212
"cg04328701",-0.0129839115301167,-5.59251391383818,6.11443406654648e-08,1.53032820121784e-05,0.0279131863902133,0.0686160331231142,"FAM134C","NM_178126",0,"FAM134C","NM_178126","inside intron","inside",1462,"inside intron",1375,1,9,"5' UTR","-",29584,10297,"162427",10688
"cg01517273",-0.00847318812364724,-5.59225151655512,6.12260904254645e-08,1.53153458730959e-05,0.0279505062184001,0.0912752468795651,"ADAR","NM_001025107",0,"ADAR","NM_001025107","inside intron","inside",488,"inside intron",362,1,15,"5' UTR","-",45922,16950,"103",1840
"cg06710927",-0.0234560325031094,-5.59202186863502,6.12977245712632e-08,1.5324867545017e-05,0.0279832081372011,0.421928867546878,"FOXF1","NM_001451",15130,"FOXF1","NM_001451","upstream","upstream",15130,NA,NA,NA,2,NA,"+",3937,2515,"2294",14927
"cg05484788",0.00600017547069978,5.59108600500565,6.1590494755736e-08,1.53896341173647e-05,0.0281168615324253,0.0722602551831348,"PHACTR3","NM_001199505",0,"PHACTR3","NM_001199505","inside intron","inside",754,"inside intron",-169,1,13,"inside transcription region","+",243163,242115,"116154",5624
"cg03813905",-0.0210681243736408,-5.59075753832103,6.16935732408947e-08,1.54064813428188e-05,0.0281639182009206,0.118923939928945,"TATDN1","NM_001146160",0,"TATDN1","NM_001146160","inside intron","inside",255,"inside intron",191,1,10,"5' UTR","-",50594,30284,"83940",53756
"cg09107232",-0.00616080778321852,-5.59065618054349,6.17254149958831e-08,1.54064813428188e-05,0.0281784543760156,0.0966549301731546,"MYNN","NM_001185118",0,"MYNN","NM_001185118","inside exon","inside",219,"inside exon",0,1,8,"5' UTR","+",16651,7834,"55892",38123
"cg25671500",-0.0191756095425296,-5.59041867873069,6.18000894530595e-08,1.5416690839609e-05,0.0282125442364845,0.0835609189294086,"HOXC13","NM_017410",0,"HOXC13","NM_017410","inside exon","inside",48,"inside exon",0,1,2,"5' UTR","+",7752,6349,"3229",24116
"cg18146629",-0.0082898335451232,-5.58905239245535,6.2231386033582e-08,1.55158037860997e-05,0.0284094367323486,0.0604333564986545,"MAGOHB","NM_001300739",-72,"MAGOHB","NM_001300739","promoter","promoter",72,NA,NA,NA,5,NA,"-",9844,7257,"55110",35961
"cg13794334",-0.00753623406693713,-5.58852119092956,6.23998618561605e-08,1.55493166678719e-05,0.0284863481355414,0.0858490996985848,"RAD23B","NM_001244713",0,"RAD23B","NM_001244713","inside intron","inside",465,"inside intron",-5,1,10,"inside transcription region","+",48958,46026,"5887",41471
"cg16254309",-0.0132995869992272,-5.58826616502889,6.24809037522721e-08,1.55567784837126e-05,0.028523344814661,0.0850422429253897,"CNTNAP2","NM_014141",0,"CNTNAP2","NM_014141","inside intron","inside",699,"inside intron",-86,1,24,"inside transcription region","+",2304635,2298739,"26047",19001
"cg13786165",-0.00848658057606335,-5.58821252920216,6.24979611514435e-08,1.55567784837126e-05,0.0285311317391289,0.0727163422971628,"CLPX","NM_006660",-46,"CLPX","NM_006660","promoter","promoter",46,NA,NA,NA,14,NA,"-",34779,34330,"10845",3465
"cg04565661",-0.012875660540887,-5.58795747305324,6.25791368886122e-08,1.55684956503711e-05,0.028568189518431,0.0661559009392496,"SEMA5B","NM_001031702",-781,"SEMA5B","NM_001031702","promoter","promoter",781,NA,NA,NA,23,NA,"-",118619,51120,"54437",34340
"cg24577766",-0.0103653722350375,-5.58759595954319,6.26943705258699e-08,1.55871601783593e-05,0.0286207951718764,0.065989665958397,"TXNDC15","NM_024715",0,"TXNDC15","NM_024715","inside intron","inside",1270,"inside intron",-509,1,5,"inside transcription region","+",27863,25257,"79770",50707
"cg19678270",-0.00995296544926395,-5.5875079700651,6.27224487531483e-08,1.55871601783593e-05,0.028633613247646,0.071253827232008,"FXR1","NM_001013438",0,"FXR1","NM_001013438","inside intron","inside",546,"inside intron",-255,1,14,"inside transcription region","+",70305,63452,"8087",52393
"cg09092311",-0.0107161465928229,-5.58653740428409,6.3032979541846e-08,1.56558077201234e-05,0.0287753745895868,0.0587457884586498,"QARS","NM_001272073",-19,"QARS","NM_001272073","promoter","promoter",19,NA,NA,NA,24,NA,"-",9197,8704,"5859",41364
"cg11310629",-0.0117878626655517,-5.58619168269517,6.31439541723481e-08,1.56748428227739e-05,0.0288260359510812,0.0900426442243084,"SLC25A30","NM_001010875",0,"SLC25A30","NM_001010875","inside intron","inside",541,"inside intron",459,1,9,"5' UTR","-",25062,13011,"253512",17607
"cg24759237",0.014043634089707,5.5860714627705,6.3182588689016e-08,1.56759092990156e-05,0.0288436731101888,0.87643085905934,"INPP4B","NM_001101669",0,"INPP4B","NM_001101669","inside intron","inside",811137,"inside intron",-6399,27,27,"inside transcription region","-",818422,402477,"8821",56732
"cg01969392",-0.0131861772212653,-5.58580243431184,6.32691286173601e-08,1.5688853727592e-05,0.0288831797124969,0.113599916615578,"ERCC1","NM_001166049",0,"ERCC1","NM_001166049","inside intron","inside",27741,"inside intron",27648,1,9,"5' UTR","-",71495,13699,"2067",13191
"cg21177599",-0.0063767397999774,-5.58542164318008,6.33918174533389e-08,1.5710743084189e-05,0.0289391887610761,0.0685683040087678,"GNE","NM_001128227",0,"GNE","NM_001128227","inside intron","inside",18214,"inside intron",-12359,2,11,"inside transcription region","-",62614,59677,"10020",381
"cg24707616",-0.0062397214782031,-5.58508138073577,6.35016443701709e-08,1.57294227761041e-05,0.0289893261763598,0.0643724965251805,"LRRC75A-AS1","NM_152350",0,"LRRC75A-AS1","NM_152350","inside intron","inside",514,"inside intron",-86,1,4,"inside transcription region","+",3039,2286,"125144",6642
"cg14121103",-0.0144498932865049,-5.58466338511643,6.36368152447901e-08,1.57543565281154e-05,0.0290510334378449,0.110098518173064,"ABHD5","NM_016006",402,"ABHD5","NM_016006","promoter","promoter",402,NA,NA,NA,7,NA,"+",31842,27539,"51099",31716
"cg13557178",-0.00802805141793855,-5.58257130461841,6.43175759571311e-08,1.59098469994056e-05,0.0293618095529178,0.0975015978900694,"MICU2","NM_152726",0,"MICU2","NM_152726","inside exon","inside",247,"inside exon",0,1,12,"inside transcription region","-",111527,110899,"221154",13899
"cg24867566",-0.0105312961996451,-5.58251928898481,6.43345919194037e-08,1.59098469994056e-05,0.0293695775609028,0.0858476874007534,"MTMR6","NM_004685",0,"MTMR6","NM_004685","inside intron","inside",522,"inside intron",179,1,14,"inside transcription region","-",41363,38015,"9107",58069
"cg00303776",-0.010501329949077,-5.58229598725065,6.44076908679883e-08,1.59193005853914e-05,0.029402948181218,0.102747339153612,"FBXW4","NM_022039",0,"FBXW4","NM_022039","inside exon","inside",490,"inside exon",0,1,9,"inside transcription region","-",84322,83349,"6468",44181
"cg15760840",-0.01520295881242,-5.5815970133931,6.46370272688167e-08,1.59646677395109e-05,0.0295076432295693,0.117851150897857,"HOXA11","NM_005523",-387,"HOXA11","NM_005523","promoter","promoter",387,NA,NA,NA,2,NA,"-",4059,2348,"3207",24066
"cg22493673",-0.00889620600000384,-5.58152353198965,6.46611830339017e-08,1.59646677395109e-05,0.0295186706503556,0.0850277011556919,"MRPL24","NM_024540",-185,"MRPL24","NM_024540","promoter","promoter",185,NA,NA,NA,6,NA,"-",3829,1306,"79590",50266
"cg21760034",-0.00775344680199597,-5.58054947995003,6.49822188320788e-08,1.60352581976696e-05,0.0296652276656888,0.086232727642154,"FBXO45","NM_001105573",0,"FBXO45","NM_001105573","inside exon","inside",407,"inside exon",0,1,3,"inside transcription region","+",20205,15333,"200933",12677
"cg12292686",-0.0113431867729942,-5.5795220747005,6.53225229646539e-08,1.61105245414171e-05,0.029820580926163,0.077244362148235,"PAOX","NM_152911",639,"PAOX","NM_152911","promoter","promoter",639,NA,NA,NA,7,NA,"+",12457,12138,"196743",12298
"cg00669777",-0.0103811494068578,-5.5792092587637,6.54264805452782e-08,1.61274508170446e-05,0.0298680389131666,0.0695356341248624,"KIAA1429","NM_015496",0,"KIAA1429","NM_015496","inside exon","inside",7,"inside exon",0,1,13,"5' UTR","-",42540,42316,"25962",18777
"cg01332403",-0.0101697702120797,-5.5781850636027,6.57679792812738e-08,1.6202880477945e-05,0.0300239375256321,0.102830236866429,"RANBP10","NM_020850",-149,"RANBP10","NM_020850","promoter","promoter",149,NA,NA,NA,14,NA,"-",83550,80108,"57610",40485
"cg01551176",-0.0106233794670361,-5.57737019141115,6.60409238173077e-08,1.6253259265862e-05,0.0301485402546106,0.0710594666902422,"RCC1","NM_001048194",0,"RCC1","NM_001048194","inside intron","inside",11942,"inside intron",-8979,3,12,"5' UTR","+",33253,8140,"1104",3995
"cg14776943",-0.00973764243249253,-5.57736199626007,6.60436744149105e-08,1.6253259265862e-05,0.030149795938174,0.0675477415801423,"HDAC5","NM_001015053",-153,"HDAC5","NM_001015053","promoter","promoter",153,NA,NA,NA,27,NA,"-",46893,39139,"10014",322
"cg15345126",-0.00980671342780278,-5.57723372151013,6.60867427508696e-08,1.62550954705968e-05,0.0301694571934277,0.0735561024961189,"RAB27A","NM_004580",-235,"RAB27A","NM_004580","promoter","promoter",235,NA,NA,NA,7,NA,"-",86849,29427,"5873",41440
"cg25169641",-0.00741802344624235,-5.57609428004723,6.64705146886952e-08,1.63406860915887e-05,0.0303446540720803,0.0578269341894656,"HEXIM1","NM_006460",0,"HEXIM1","NM_006460","inside exon","inside",543,"inside exon",0,1,1,"5' UTR","+",4784,1079,"10614",2830
"cg21300561",-0.00963696598983739,-5.57562908129362,6.6627820681912e-08,1.63705416054692e-05,0.0304164663029617,0.0482650692457266,"TUBA1B","NM_006082",-230,"TUBA1B","NM_006082","promoter","promoter",230,NA,NA,NA,4,NA,"-",3737,3342,"10376",2041
"cg13816282",-0.0138427883201933,-5.5746922731719,6.69457023930297e-08,1.64397974376273e-05,0.0305615834365492,0.0862488668203833,"ZNF519","NM_145287",-64,"ZNF519","NM_145287","promoter","promoter",64,NA,NA,NA,3,NA,"-",32547,27360,"162655",10711
"cg18842107",0.036626368118898,5.57411270227709,6.71431045786217e-08,1.64759960605756e-05,0.0306517001005003,0.823129354215021,"TCF7L2","NM_001146274",0,"TCF7L2","NM_001146274","inside intron","inside",54092,"inside intron",-4555,2,11,"inside transcription region","+",127673,125600,"6934",46513
"cg18313899",-0.0178001790895143,-5.57404766587644,6.7165291390894e-08,1.64759960605756e-05,0.0306618286687312,0.113013099280749,"SLC35F1","NM_001029858",191,"SLC35F1","NM_001029858","promoter","promoter",191,NA,NA,NA,8,NA,"+",410150,406525,"222553",14216
"cg11574612",-0.0112916944035505,-5.57390679408074,6.72133735410967e-08,1.64789359803258e-05,0.0306837787953667,0.0939026128087744,"CYP39A1","NM_001278738",0,"CYP39A1","NM_001278738","inside exon","inside",21,"inside exon",0,1,12,"5' UTR","-",103078,102216,"51302",32236
"cg06992223",-0.0102865810306305,-5.57311163140934,6.74854071444682e-08,1.65367502263782e-05,0.0308079656717426,0.0657016987329434,"MSRA","NM_001135670",0,"MSRA","NM_001135670","inside intron","inside",239291,"inside intron",-14857,5,6,"inside transcription region","+",333335,332281,"4482",29446
"cg13415434",-0.0167517965976497,-5.57218014952645,6.78054421592391e-08,1.6606258485215e-05,0.0309540658164407,0.113558062547482,"P4HTM","NM_017732",0,"P4HTM","NM_017732","inside exon","inside",17181,"inside exon",0,9,9,"3'UTR","+",17240,16650,"54681",34812
"cg07954844",-0.0057410684949903,-5.57065487222641,6.83326884566405e-08,1.67148754739013e-05,0.0311947606054063,0.077982819350171,"IRF2","NM_002199",-454,"IRF2","NM_002199","promoter","promoter",454,NA,NA,NA,9,NA,"-",86850,40306,"3660",25660
"cg05622307",-0.0139240465889547,-5.57063814818204,6.83384915888426e-08,1.67148754739013e-05,0.0311974098106973,0.0754435726094465,"PAX2","NM_000278",15095,"PAX2","NM_000278","upstream","upstream",15095,NA,NA,NA,11,NA,"+",84230,81422,"5076",31243
"cg12320676",-0.0226989640019874,-5.57048334496547,6.83922300838351e-08,1.67148754739013e-05,0.0312219421322618,0.0812430278366435,"E2F6","NM_001278275",0,"E2F6","NM_001278275","inside intron","inside",589,"inside intron",183,1,7,"5' UTR","-",21802,5253,"1876",12042
"cg06676847",-0.0196397888129267,-5.57047422886631,6.83953959366931e-08,1.67148754739013e-05,0.0312233873852476,0.118179280421567,"LGALS8","NM_006499",0,"LGALS8","NM_006499","inside intron","inside",480,"inside intron",-145,1,10,"5' UTR","+",29252,22090,"3964",27342
"cg25179170",-0.00612804363305791,-5.5702486808953,6.84737700859741e-08,1.6725075550165e-05,0.0312591662032583,0.0606410861428719,"FAM69A","NM_001006605",-510,"FAM69A","NM_001006605","promoter","promoter",510,NA,NA,NA,5,NA,"-",128793,128409,"388650",26760
"cg10562781",-0.0107362788169821,-5.56983577119605,6.86174761916429e-08,1.67512138549067e-05,0.0313247699086755,0.1154010356002,"BRPF3","NM_015695",0,"BRPF3","NM_015695","inside intron","inside",654,"inside intron",-456,1,13,"5' UTR","+",36017,30286,"27154",20319
"cg18362936",-0.009672948978785,-5.56949255991657,6.87371486607918e-08,1.67714601531716e-05,0.0313794019465841,0.0680790500222328,"MBP","NM_001025081",0,"MBP","NM_001025081","inside intron","inside",763,"inside intron",524,1,4,"5' UTR","-",120035,88447,"4155",28306
"cg19941686",-0.0101751557316802,-5.56914033512945,6.88601755235695e-08,1.67840463777853e-05,0.0314355653087913,0.065227960932011,"NUPL2","NM_007342",0,"NUPL2","NM_007342","inside intron","inside",533,"inside intron",-153,1,7,"inside transcription region","+",19184,18659,"11097",4172
"cg02339937",-0.0256728082359271,-5.56913436025861,6.88622643070228e-08,1.67840463777853e-05,0.0314365188655919,0.137041946520395,"R3HDM2","NM_014925",0,"R3HDM2","NM_014925","inside intron","inside",546,"inside intron",260,1,24,"5' UTR","-",177240,55655,"22864",14653
"cg20988728",-0.013134840385864,-5.56892445622312,6.89356848647505e-08,1.67888137674472e-05,0.0314700363046618,0.0879679540389665,"PIK3IP1","NM_001135911",0,"PIK3IP1","NM_001135911","inside exon","inside",18,"inside exon",0,1,5,"5' UTR","-",3496,3147,"113791",5124
"cg27182555",-0.0146231607890881,-5.5687842288045,6.89847763363481e-08,1.67888137674472e-05,0.0314924471996353,0.0820532901822782,"SEC31A","NM_001077206",0,"SEC31A","NM_001077206","inside exon","inside",485,"inside exon",0,1,29,"5' UTR","-",82255,62862,"22872",14685
"cg00834779",-0.0112633302466388,-5.5687631668452,6.89921527486205e-08,1.67888137674472e-05,0.031495814627731,0.0800090079846031,"ZNF763","NM_001012753",0,"ZNF700","NM_001271847","inside intron","inside",532,"inside intron",-326,1,4,"inside transcription region","+",25705,25042,"90592",57819
"cg00082235",-0.00701738733564057,-5.56798235503678,6.92661553278012e-08,1.68412753911098e-05,0.0316209003671605,0.066845373375864,"IFFO1","NM_001039670",0,"IFFO1","NM_001039670","inside exon","inside",713,"inside exon",0,1,10,"inside transcription region","-",17122,15546,"25900",18522
"cg02729805",-0.0086297557805997,-5.56793865625553,6.92815214123237e-08,1.68412753911098e-05,0.0316279151845041,0.0775666433673255,"KIF3B","NM_004798",0,"KIF3B","NM_004798","inside intron","inside",220,"inside intron",-105,1,9,"5' UTR","+",57357,21541,"9371",59435
"cg10689512",-0.0264811995994443,-5.56781364336404,6.93254988540032e-08,1.68429970507385e-05,0.0316479914583376,0.123662567607841,"CCND2","NM_001759",1883,"CCND2","NM_001759","promoter","promoter",1883,NA,NA,NA,5,NA,"+",31620,25968,"894",57178
"cg02111504",-0.00857612205661582,-5.5673756434606,6.94797946636851e-08,1.68715050538845e-05,0.0317184295013029,0.0934159607740404,"KIAA0825","NM_001145678",0,"KIAA0825","NM_001145678","inside intron","inside",199,"inside intron",94,1,5,"5' UTR","-",99391,16883,"285600",21768
"cg04757284",-0.0076705248258625,-5.56725273912976,6.95231507247068e-08,1.6873058004672e-05,0.0317382221067881,0.0663757845609312,"ZNF286B","NM_001145045",-162,"ZNF286B","NM_001145045","promoter","promoter",162,NA,NA,NA,5,NA,"-",23830,19714,"729288",47794
"cg07017636",-0.00792715542363523,-5.56693469786397,6.96354662631362e-08,1.68895107845721e-05,0.0317894956101831,0.0674769989537867,"MGST3","NM_004528",32798,"MGST3","NM_004528","upstream","upstream",32798,NA,NA,NA,6,NA,"+",25262,5656,"4259",28600
"cg19015909",0.00578820947275804,5.56685133266017,6.96649357353442e-08,1.68895107845721e-05,0.0318029488073492,0.0786497211696577,"SMO","NM_005631",201,"SMO","NM_005631","promoter","promoter",201,NA,NA,NA,12,NA,"+",24672,23299,"6608",45503
"cg23862792",-0.0106643370921264,-5.56620044284631,6.98954426409063e-08,1.69364003218302e-05,0.031908178206328,0.0590549024131967,"DAAM1","NM_001270520",0,"DAAM1","NM_001270520","inside intron","inside",1266,"inside intron",-1083,1,13,"5' UTR","+",141956,67210,"23002",15111
"cg08396677",-0.0167423685667115,-5.56600937013471,6.99632503952359e-08,1.69384948252314e-05,0.0319391333276803,0.0848575060541927,"ZRANB3","NM_001286568",0,"ZRANB3","NM_001286568","inside exon","inside",107,"inside exon",0,1,10,"5' UTR","-",262274,82313,"84083",53938
